# Simulated random data file for batch processing
# timestamp: 2018-11-01 14:43:56
#JSC
#--------------------

"varX","varY"
0.447355981217697,0.338362966198474
NA,0.285879519302398
0.458245620131493,0.455849865218624
0.4784049927257,0.550435615237802
0.0255457949824631,0.566427011974156
0.317703096428886,0.63254191656597
0.0675258932169527,0.824151600478217
0.880148646421731,0.503622421529144
0.608701056800783,0.423448567278683
0.40636946586892,0.807472639949992
0.320253812940791,0.767871629213914
NA,0.16594900470227
0.028223296161741,0.901013394119218
0.936249305028468,0.388704457785934
0.0393866326194257,0.324072912801057
0.0109102865681052,0.467831259360537
0.662098830100149,NA
0.0648275713901967,0.300658195978031
0.719455489190295,0.524644350167364
0.182537035550922,0.727240912616253
0.964552374789491,0.770421660970896
0.419062698958442,NA
0.765974660869688,0.556249762885273
0.528168458025903,0.0530968776438385
NA,0.0178986378014088
0.182518450776115,0.871656734496355
0.175848909886554,0.622357497923076
0.635736377676949,0.409575702622533
0.612328617367893,0.174638097407296
0.451276128645986,0.296845999313518
0.751820637146011,0.482818553224206
0.603451859671623,0.767599672777578
0.169191749766469,0.670333648333326
0.132707685930654,0.42389953113161
0.442098113941029,0.733725818106905
0.363138841930777,NA
0.0686753545887768,0.504979702876881
0.679468972142786,NA
0.809996485011652,0.550552183296531
0.15597386052832,0.0760169699788094
0.710918098920956,0.239222030853853
0.505247622961178,0.711625064490363
0.797124751377851,0.160892945947126
0.417197460308671,0.59512231987901
0.423284778604284,0.299558307044208
0.592216200428084,0.42160919867456
0.210563426371664,0.399083414347842
0.0293093870859593,NA
0.839524894952774,0.899560565128922
0.402886443305761,0.983091395813972
0.800956714199856,0.621551086427644
0.917068888898939,0.158678091829643
0.909332202980295,0.635065097361803
0.62807021685876,0.415549154859036
0.165707398671657,0.144237401895225
0.671781556447968,0.858004855457693
0.168244624510407,0.00731002492830157
0.0516017056070268,0.901762346969917
0.648420646553859,0.114266889868304
0.527793380199,0.484332569641992
0.480251146480441,0.736529382877052
0.972372543299571,0.297973795793951
0.431168954120949,0.0465883193537593
0.0776642356067896,0.598050510976464
0.911904660286382,0.707204973325133
0.712988710263744,0.445897387340665
0.542089955182746,0.426808964926749
0.0735905976034701,0.57421638793312
0.706566804554313,0.722341964719817
0.297838886501268,0.256542223040015
0.402175410185009,0.27721182233654
0.127262700581923,0.784692451823503
0.591546024428681,0.020660278853029
0.337930571520701,0.0997586948797107
0.419846230885014,0.609176702331752
0.512169946916401,0.647749774390832
0.706103231525049,0.417202157899737
0.301194628467783,0.833625664468855
0.107012622524053,0.535216313321143
0.356200204929337,0.790057230042294
NA,0.154283866053447
0.848332945955917,0.133389712776989
0.656899551162496,0.965627730824053
NA,0.73080262192525
0.173080487642437,0.990757337305695
